topic,term1,term2,score,relatedness_level
all nations have a right to nuclear weapons,cold war,anti ballistic missile,0.2,low
all nations have a right to nuclear weapons,cold war,kilotons of tnt,0.0,low
all nations have a right to nuclear weapons,cold war,nations,0.7,high
all nations have a right to nuclear weapons,cold war,nuclear weapons,0.7,high
all nations have a right to nuclear weapons,cold war,united states,1.0,high
all nations have a right to nuclear weapons,deterrence,nations,0.5,medium
all nations have a right to nuclear weapons,deterrence,nuclear weapons,1.0,high
all nations have a right to nuclear weapons,developing nuclear weapons,nations,0.9,high
all nations have a right to nuclear weapons,developing nuclear weapons,nuclear weapons,1.0,high
all nations have a right to nuclear weapons,energy,nations,0.1,low
all nations have a right to nuclear weapons,energy,nuclear weapons,0.9,high
all nations have a right to nuclear weapons,explosion,nations,0.0,low
all nations have a right to nuclear weapons,explosion,nuclear weapons,1.0,high
all nations have a right to nuclear weapons,fat man,nations,0.0,low
all nations have a right to nuclear weapons,fat man,nuclear weapons,0.8,high
all nations have a right to nuclear weapons,fission,nations,0.0,low
all nations have a right to nuclear weapons,fission,north,0.0,low
all nations have a right to nuclear weapons,fission,nuclear weapons,1.0,high
all nations have a right to nuclear weapons,fission,nuclear weapons tests,0.5,medium
all nations have a right to nuclear weapons,fission,uranium enrichment,1.0,high
all nations have a right to nuclear weapons,fission chain reaction,nations,0.0,low
all nations have a right to nuclear weapons,fission chain reaction,nuclear weapons,1.0,high
all nations have a right to nuclear weapons,fusion fuel,nations,0.0,low
all nations have a right to nuclear weapons,fusion fuel,nuclear weapons,1.0,high
all nations have a right to nuclear weapons,hiroshima and nagasaki,energy,0.2,low
all nations have a right to nuclear weapons,hiroshima and nagasaki,fission chain reaction,0.2,low
all nations have a right to nuclear weapons,hiroshima and nagasaki,nations,0.2,low
all nations have a right to nuclear weapons,hiroshima and nagasaki,nuclear weapons,0.8,high
all nations have a right to nuclear weapons,hiroshima and nagasaki,nuclear weapons tests,0.3,low
all nations have a right to nuclear weapons,iran's nuclear program,nations,0.7,high
all nations have a right to nuclear weapons,iran's nuclear program,nuclear weapons,1.0,high
all nations have a right to nuclear weapons,kilotons of tnt,nations,0.0,low
all nations have a right to nuclear weapons,kilotons of tnt,nuclear weapons,0.9,high
all nations have a right to nuclear weapons,missile,developing nuclear weapons,0.6,medium
all nations have a right to nuclear weapons,missile,nations,0.1,low
all nations have a right to nuclear weapons,missile,nuclear explosion,0.9,high
all nations have a right to nuclear weapons,missile,nuclear weapons,1.0,high
all nations have a right to nuclear weapons,national intelligence estimate,nations,0.7,high
all nations have a right to nuclear weapons,national intelligence estimate,nuclear weapons,0.4,medium
all nations have a right to nuclear weapons,nevada test site,fission chain reaction,0.1,low
all nations have a right to nuclear weapons,nevada test site,fusion fuel,0.4,medium
all nations have a right to nuclear weapons,nevada test site,nations,0.2,low
all nations have a right to nuclear weapons,nevada test site,north,0.1,low
all nations have a right to nuclear weapons,nevada test site,north korea's,0.0,low
all nations have a right to nuclear weapons,nevada test site,north korean nuclear,0.0,low
all nations have a right to nuclear weapons,nevada test site,nuclear testing,1.0,high
all nations have a right to nuclear weapons,nevada test site,nuclear weapons,1.0,high
all nations have a right to nuclear weapons,north,nations,0.3,low
all nations have a right to nuclear weapons,north,nuclear weapons,0.0,low
all nations have a right to nuclear weapons,north korea,developing nuclear weapons,0.9,high
all nations have a right to nuclear weapons,north korea,energy,0.1,low
all nations have a right to nuclear weapons,north korea,fission chain reaction,0.1,low
all nations have a right to nuclear weapons,north korea,nations,0.9,high
all nations have a right to nuclear weapons,north korea,nuclear weapons,0.5,medium
all nations have a right to nuclear weapons,north korea,reactors,0.2,low
all nations have a right to nuclear weapons,north korea's,nations,0.9,high
all nations have a right to nuclear weapons,north korea's,nuclear weapons,0.7,high
all nations have a right to nuclear weapons,north korean nuclear,nations,0.6,medium
